question,answer
disability insurance required law ,generally  five state require employer carry short term disability insurance employee  state  california  hawaii  new jersey  new york  rhode island  besides mandatory short term disability law  legislative imperative someone purchase covered disability insurance 
creditor take life insurance death ,person passed away one debt  creditor generally take life insurance proceeds left long beneficiary person  money belongs beneficiary  long creditor claim beneficiary  take life insurance proceeds 
traveler insurance renter insurance ,one insurance carrier represent traveler yes  purchase renter insurance traveler  would look local agent assist placing renter policy interested  sure local agent would happy quote traveler access carry well 
drive new car home without insurance ,auto dealer let drive car lot unless proof insurance loan car  never good idea drive car without insurance  traded car  coverage older car may extend new car temporarily  need call agent soon possible get changed  dealership insurance agent work get coverage well 
cash surrender value life insurance taxable ,cash surrender value come whole life insurance  never term  amount terminate policy receive  amount includes put profit made  profit taxable  profit would taxable  far better idea would surrender whole life policy  instead keep borrow either repay choose repay wish  continue grow value  even loan  policy stay force  although death benefit reduced loan paid back  numerous option discus qualified agent  gary lane  registered representative  new york life  949 797 2424 call anytime  thank 
annuity income reported ,good news annuity income usually reported insurance company issuing annuity  make disbursement also issue appropriate documentation assist filing tax  send identical information internal revenue service  generally speaking money withdrawn annuity treated interest taxed ordinary income interest exhausted basis  sum premium paid  remains  money recovered free income tax  annuity annuitized  paid monthly installment either extended period time lifetime annuitant  exclusion factor determined applied payment  part payment taxed ordinary income  bad news principle apply nonqualified annuity held individual barely touch situation arise taxation unique situation  response meant take place legal accounting professional advice alert complexity taxing annuity  obvious situation annuity held asset qualified pension plan  includes defined benefit plan  defined contribution plan  401  k   ira many others  income taken plan taxed ordinary income unless taken prior age fiftynine half  taken earlier could subject penalty tax additional ten per cent  annuity taxation becomes complex deferred annuity transferred  person give another person annuity life  life third party  basic rule transfer treated surrender taxed accordingly  annuity transferred treated fully paid  basis value taxed  estate planning reason ownership annuity sometimes held trust lead another set taxation consideration involving nonnatural person rule  going taxed basic issue quite tangled  course exception rule  taxation fairly straightforward annuity annuitized  state law concerning probate create unexpected outcome taxation  individual owns annuity annuitant another person  perhaps spouse  death owner trigger beneficiary provision another third person could suddenly contract upsetting intention couple  even child  many taxation rule specific individual insurance company wise carefully make sure company select purchase annuity follows procedure maintain plan keep taxation uncomplicated possible  absent plan  irs frequently call liquidation transferred annuity within five year  key desire get tax question settled 
aaa home insurance cover ,aaa home insurance  like major carrier  cover wide variety claim  including fire  theft  vandalism  many item  however  numerous type policy offered  best determine type policy accurately understand benefit  experienced broker help 
simple retirement plan ,simple retirement plan  simple inexpensive opportunity small business retirement plan nt break bank advisor fee  simple plan irs approved plan step follow expensive testing record keeping nt necessary  small business considering retirement plan offer  right top provide great platform business would rather use s money put towards employee retirement rather third party administers plan 
social security disability insurance cover ,social security disability insurance pay monthly benefit people work due disability  benefit paid cash recipient use wish  paid institution entity  injury illness cause person unable work covered 
car insurance prepaid ,yes  automobile insurance typically paid advance  normally le thirty day time  carrier set requirement initial payment amount new coverage  carrier allow client pay monthly  quarterly  semiannually  annually  pay premium full semiannual annual may also receive discount rate  solely discretion carrier  
medicare part b cover ,medicare part b cover doctor service  outpatient hospital service  medical service supply  monthly cost charged social security check received  deductible 20  copayments incurred  addition pay cost service supply covered medicare 
veteran get life insurance ,unless service person get veteran group life insurance  vgli  within year separating service  servicemembers group life insurance  sgli  end need get private policy  contact agency website carry several product choose find best rate veteran s life insurance 
homeowner insurance cover lost wedding ring ,great question  generally  homeowner  policy cover anything lost  referred  mysterious disappearance  policy document usually listed specific exclusion  said  certainly obtain coverage loss working insurance professional asking item insured specifically either rider attached homeowner  policy stand alone separate policy  need provide current appraisal item would insured stated amount appraisal  rider separate policy  commonly referred  personal inland marine   include much broader coverage standard homeowner policy cover loss 
assigned risk auto insurance work ,assigned risk california amfamiliarwith processing center people trouble buying auto insurance connected insurance company insure  assigned risk insurance company company required law participate  amount auto insurance company road would constitute percentage obligation plan  financial hardship criterion qualify assigned risk  also agent offer assigned risk must becertifiedto offer coverage  go online beconnectedto agent see qualify assigned risk 
boyfriend add car insurance ,living household put list driver  insurance follows car linked household  person buying insurance household loan car whoever wish  insurance cover automobile  living together wouldnt anything gained putting policy 
need police report submit claim car accident private property ,actually  though local police might prepare accident report  many case  incident occured private property  likely would take action  therefore  possible  becomes important exchange information party involved  would also recommend neither car moved take photo record insurance company help processing claim 
full coverage auto insurance cover repair , full coverage  assuming mean  carrying comprehensive collision coverage cover repair  covered claim ie  an accident  hit deer  backed wife s car like week  yes  carrying comprehensive collision coverage would pay fix covered damage subject poilcy deductible  experiencing general vehicle issue  ie   motor running roof  transmission mission general wear tear   insurance coverage would come play case  insurance come play repair vehilce covered claim 
life insurance acceptable islam ,use interest chance believe insurance permitted islam  ie  haram sinful   due spiritual nature question  seek advice imam guidance islam s position insurance 
